DATE,STATION,PRCP
1971-01-01,WA004192150,0.0
1971-01-02,WA004192150,0.0
1971-01-03,WA004192150,0.0
1971-01-04,WA004192150,0.0
1971-01-05,WA004192150,0.0
1971-01-06,WA004192150,0.0
1971-01-07,WA004192150,4.0
1971-01-08,WA004192150,0.0
1971-01-09,WA004192150,6.0
1971-01-10,WA004192150,0.0
1971-01-11,WA004192150,0.0
1971-01-12,WA004192150,0.0
1971-01-13,WA004192150,0.0
1971-01-14,WA004192150,0.0
1971-01-15,WA004192150,0.0
1971-01-16,WA004192150,0.0
1971-01-17,WA004192150,0.0
1971-01-18,WA004192150,0.0
1971-01-19,WA004192150,0.0
1971-01-20,WA004192150,0.0
1971-01-21,WA004192150,0.0
1971-01-22,WA004192150,0.0
1971-01-23,WA004192150,0.0
1971-01-24,WA004192150,10.0
1971-01-25,WA004192150,0.0
1971-01-26,WA004192150,0.0
1971-01-27,WA004192150,0.0
1971-01-28,WA004192150,0.0
1971-01-29,WA004192150,0.0
1971-01-30,WA004192150,0.0
1971-01-31,WA004192150,0.0
1971-02-01,WA004192150,0.0
1971-02-02,WA004192150,0.0
1971-02-03,WA004192150,0.0
1971-02-04,WA004192150,0.0
1971-02-05,WA004192150,0.0
1971-02-06,WA004192150,12.0
1971-02-07,WA004192150,0.5
1971-02-08,WA004192150,9.0
1971-02-09,WA004192150,2.5
1971-02-10,WA004192150,0.0
1971-02-11,WA004192150,0.0
1971-02-12,WA004192150,0.0
1971-02-13,WA004192150,0.0
1971-02-14,WA004192150,5.0
1971-02-15,WA004192150,0.0
1971-02-16,WA004192150,2.0
1971-02-17,WA004192150,0.0
1971-02-18,WA004192150,1.0
1971-02-19,WA004192150,6.5
1971-02-20,WA004192150,0.0
1971-02-21,WA004192150,0.0
1971-02-22,WA004192150,0.0
1971-02-23,WA004192150,0.0
1971-02-24,WA004192150,1.0
1971-02-25,WA004192150,0.5
1971-02-26,WA004192150,0.0
1971-02-27,WA004192150,0.0
1971-02-28,WA004192150,0.0
1971-03-01,WA004192150,0.0
1971-03-02,WA004192150,0.0
1971-03-03,WA004192150,0.0
1971-03-04,WA004192150,0.0
1971-03-05,WA004192150,0.0
1971-03-06,WA004192150,0.0
1971-03-07,WA004192150,0.0
1971-03-08,WA004192150,0.0
1971-03-09,WA004192150,0.0
1971-03-10,WA004192150,0.0
1971-03-11,WA004192150,0.0
1971-03-12,WA004192150,0.0
1971-03-13,WA004192150,3.5
1971-03-14,WA004192150,6.5
1971-03-15,WA004192150,4.0
1971-03-16,WA004192150,0.0
1971-03-17,WA004192150,0.0
1971-03-18,WA004192150,0.0
1971-03-19,WA004192150,0.0
1971-03-20,WA004192150,0.0
1971-03-21,WA004192150,0.0
1971-03-22,WA004192150,3.5
1971-03-23,WA004192150,0.0
1971-03-24,WA004192150,0.0
1971-03-25,WA004192150,0.0
1971-03-26,WA004192150,0.0
1971-03-27,WA004192150,0.0
1971-03-28,WA004192150,2.5
1971-03-29,WA004192150,0.0
1971-03-30,WA004192150,0.0
1971-03-31,WA004192150,0.0
1971-04-01,WA004192150,2.0
1971-04-02,WA004192150,0.0
1971-04-03,WA004192150,0.0
1971-04-04,WA004192150,0.0
1971-04-05,WA004192150,0.0
1971-04-06,WA004192150,0.0
1971-04-07,WA004192150,0.0
1971-04-08,WA004192150,0.0
1971-04-09,WA004192150,0.0
1971-04-10,WA004192150,0.0
1971-04-11,WA004192150,0.0
1971-04-12,WA004192150,0.0
1971-04-13,WA004192150,0.0
1971-04-14,WA004192150,0.0
1971-04-15,WA004192150,0.0
1971-04-16,WA004192150,0.0
1971-04-17,WA004192150,0.0
1971-04-18,WA004192150,0.0
1971-04-19,WA004192150,0.0
1971-04-20,WA004192150,0.0
1971-04-21,WA004192150,0.0
1971-04-22,WA004192150,0.3
1971-04-23,WA004192150,1.0
1971-04-24,WA004192150,0.0
1971-04-25,WA004192150,0.0
1971-04-26,WA004192150,0.0
1971-04-27,WA004192150,0.0
1971-04-28,WA004192150,0.0
1971-04-29,WA004192150,0.0
1971-04-30,WA004192150,0.0
1971-05-01,WA004192150,0.5
1971-05-02,WA004192150,0.0
1971-05-03,WA004192150,0.0
1971-05-04,WA004192150,0.0
1971-05-05,WA004192150,0.0
1971-05-06,WA004192150,0.0
1971-05-07,WA004192150,0.0
1971-05-08,WA004192150,0.0
1971-05-09,WA004192150,0.0
1971-05-10,WA004192150,0.0
1971-05-11,WA004192150,0.0
1971-05-12,WA004192150,0.0
1971-05-13,WA004192150,0.0
1971-05-14,WA004192150,0.0
1971-05-15,WA004192150,0.0
1971-05-16,WA004192150,0.0
1971-05-17,WA004192150,0.0
1971-05-18,WA004192150,0.0
1971-05-19,WA004192150,0.0
