DATE,STATION,PRCP,TMIN,TMAX
1973-02-06,WAM00068006,,,
1977-12-13,WAM00068006,0.5,,
1978-01-21,WAM00068006,5.1,,
1978-01-24,WAM00068006,3.0,,
1978-09-14,WAM00068006,0.0,,
1978-10-18,WAM00068006,0.0,,
1978-12-06,WAM00068006,0.0,,
1979-04-15,WAM00068006,0.0,,
1979-04-22,WAM00068006,0.0,,
1979-11-22,WAM00068006,20.1,19.0,
1979-12-04,WAM00068006,2.0,21.0,
1980-05-20,WAM00068006,0.0,14.0,
1981-09-01,WAM00068006,0.0,10.0,
1981-09-02,WAM00068006,0.0,10.0,
1988-01-06,WAM00068006,,,
1988-01-08,WAM00068006,,20.7,34.7
1988-01-11,WAM00068006,,,
1988-01-14,WAM00068006,65.0,19.9,27.0
1988-01-15,WAM00068006,0.0,,
1988-01-18,WAM00068006,,,
1988-01-19,WAM00068006,,,
1988-01-21,WAM00068006,,,
1988-01-22,WAM00068006,,,29.4
1988-01-25,WAM00068006,,,
1988-02-03,WAM00068006,,,
1988-02-04,WAM00068006,,22.0,35.0
1988-02-08,WAM00068006,,18.4,33.0
1988-02-09,WAM00068006,7.1,19.7,31.2
1988-02-10,WAM00068006,0.0,,
1988-02-11,WAM00068006,,,
1988-02-12,WAM00068006,,,
1988-02-18,WAM00068006,,19.6,32.1
1988-02-23,WAM00068006,,20.9,
1988-02-26,WAM00068006,,,
1988-03-01,WAM00068006,14.0,19.4,32.2
1988-03-02,WAM00068006,0.0,20.9,
1988-03-03,WAM00068006,,22.3,
1988-03-04,WAM00068006,,21.2,33.1
1988-03-09,WAM00068006,,19.2,33.2
1988-03-11,WAM00068006,,19.7,34.9
1988-03-15,WAM00068006,,21.6,34.7
1988-03-16,WAM00068006,,18.4,34.5
1988-03-18,WAM00068006,,25.3,31.6
1988-03-21,WAM00068006,,,36.7
1988-03-22,WAM00068006,,25.5,33.8
1988-03-23,WAM00068006,,20.1,32.2
1988-03-24,WAM00068006,,23.3,34.1
1988-03-25,WAM00068006,,20.7,30.2
1988-03-28,WAM00068006,,17.7,32.2
1988-03-29,WAM00068006,,17.3,37.2
1988-03-30,WAM00068006,,17.5,31.5
1988-04-07,WAM00068006,,20.0,32.6
1988-04-08,WAM00068006,,,
1988-04-11,WAM00068006,,18.8,31.2
1988-04-12,WAM00068006,,,
1988-04-14,WAM00068006,,,32.0
1988-04-15,WAM00068006,,19.5,32.1
1988-04-18,WAM00068006,,20.5,30.9
1988-04-19,WAM00068006,,18.3,31.5
1988-04-20,WAM00068006,,20.2,29.2
1988-04-21,WAM00068006,,18.0,
1988-04-22,WAM00068006,,18.8,31.0
1988-04-25,WAM00068006,,20.3,29.0
1988-04-26,WAM00068006,,17.4,29.0
1988-04-27,WAM00068006,,17.5,30.4
1988-04-28,WAM00068006,,,
1988-04-29,WAM00068006,,18.7,30.1
1988-05-02,WAM00068006,,14.8,28.2
1988-05-03,WAM00068006,,15.3,
1988-05-04,WAM00068006,,14.8,26.8
1988-05-05,WAM00068006,15.2,,27.6
1988-05-10,WAM00068006,,17.5,29.7
1988-05-11,WAM00068006,,17.9,
1988-05-13,WAM00068006,,16.9,29.3
1988-05-16,WAM00068006,,16.6,
1988-05-17,WAM00068006,,13.2,28.4
1988-05-18,WAM00068006,,,
1988-05-19,WAM00068006,,,
1988-05-20,WAM00068006,,13.1,29.1
1988-05-23,WAM00068006,,,
1988-05-24,WAM00068006,,12.2,29.1
1988-05-25,WAM00068006,,12.4,29.2
1988-05-26,WAM00068006,,13.0,29.1
1988-05-27,WAM00068006,,13.0,29.3
1988-05-30,WAM00068006,0.0,8.9,31.1
1988-06-01,WAM00068006,,13.8,29.0
1988-06-02,WAM00068006,,,
1988-06-03,WAM00068006,,,
1988-06-06,WAM00068006,,11.2,28.3
1988-06-07,WAM00068006,,8.6,26.7
1988-06-08,WAM00068006,,,
1988-06-09,WAM00068006,,9.1,23.0
1988-06-10,WAM00068006,,8.0,26.2
1988-06-13,WAM00068006,,11.6,28.9
1988-06-14,WAM00068006,,,
1988-06-15,WAM00068006,,10.5,29.2
1988-06-16,WAM00068006,,,
1988-06-17,WAM00068006,,,
1988-06-20,WAM00068006,,,
1988-06-21,WAM00068006,,,27.2
1988-06-22,WAM00068006,,11.1,
1988-06-23,WAM00068006,,,
1988-06-24,WAM00068006,,11.4,27.6
1988-06-27,WAM00068006,,10.3,26.8
1988-06-28,WAM00068006,,9.5,27.3
1988-06-29,WAM00068006,,8.2,26.6
1988-06-30,WAM00068006,,7.9,25.6
1988-07-04,WAM00068006,,10.2,27.3
1988-07-05,WAM00068006,,10.0,27.8
1988-07-06,WAM00068006,,,
1988-07-07,WAM00068006,,,
1988-07-08,WAM00068006,,9.6,27.3
1988-07-11,WAM00068006,,5.9,22.4
1988-07-12,WAM00068006,,4.0,
1988-07-13,WAM00068006,,,
1988-07-14,WAM00068006,,5.8,22.8
1988-07-15,WAM00068006,,6.5,
1988-07-18,WAM00068006,,6.4,
1988-07-19,WAM00068006,,,
1988-07-20,WAM00068006,,7.2,26.3
1988-07-25,WAM00068006,,,
1988-07-26,WAM00068006,,,
1988-07-27,WAM00068006,,12.0,29.9
1988-07-28,WAM00068006,,12.4,29.7
1988-07-29,WAM00068006,,,29.1
1988-08-01,WAM00068006,,10.3,27.2
1988-08-02,WAM00068006,,,28.0
1988-08-04,WAM00068006,,,
1988-08-08,WAM00068006,,10.5,29.4
1988-08-09,WAM00068006,,9.3,29.4
1988-08-10,WAM00068006,,10.4,30.0
