DATE,STATION,TMAX,TMIN,PRCP
1990-02-14,WAM00068098,25.7,13.0,
1990-02-16,WAM00068098,26.2,16.9,0.0
1990-02-17,WAM00068098,25.3,15.8,0.0
1990-02-18,WAM00068098,26.1,,
1990-02-19,WAM00068098,28.5,15.8,
1990-02-20,WAM00068098,28.5,14.5,0.0
1990-02-21,WAM00068098,26.7,15.0,
1990-02-26,WAM00068098,25.8,11.5,0.0
1990-03-04,WAM00068098,28.5,16.5,0.0
1990-03-05,WAM00068098,28.0,15.0,
1990-03-06,WAM00068098,29.5,,0.0
1990-03-07,WAM00068098,29.5,,0.0
1990-03-08,WAM00068098,24.5,13.6,0.0
1990-03-09,WAM00068098,24.5,13.7,0.0
1990-03-10,WAM00068098,27.0,13.8,0.0
1990-03-11,WAM00068098,27.0,12.7,0.0
1990-03-12,WAM00068098,27.0,13.0,
1990-03-13,WAM00068098,23.7,13.2,0.0
1990-03-14,WAM00068098,23.7,14.4,0.0
1990-03-15,WAM00068098,23.5,12.0,0.0
1990-03-16,WAM00068098,25.2,14.2,0.0
1990-03-17,WAM00068098,28.5,14.9,0.0
1990-03-18,WAM00068098,28.5,13.5,0.0
1990-03-19,WAM00068098,29.0,14.0,0.0
1990-03-20,WAM00068098,29.0,13.1,
1990-03-21,WAM00068098,29.0,15.0,0.0
1990-03-22,WAM00068098,29.2,15.3,0.0
1990-03-23,WAM00068098,29.2,14.9,0.0
1990-03-24,WAM00068098,28.0,13.5,0.0
1990-03-25,WAM00068098,25.7,13.7,0.0
1990-03-26,WAM00068098,24.3,14.0,0.0
1990-03-27,WAM00068098,24.4,14.2,0.0
1990-03-28,WAM00068098,24.8,14.5,
1990-03-29,WAM00068098,26.3,15.5,0.0
1990-03-30,WAM00068098,26.2,16.7,
1990-04-01,WAM00068098,31.1,15.9,
1990-04-02,WAM00068098,28.0,14.0,0.0
1990-04-03,WAM00068098,27.7,12.7,
1990-04-04,WAM00068098,24.5,13.5,0.0
1990-04-05,WAM00068098,27.5,13.8,
1990-04-06,WAM00068098,27.5,13.5,
1990-04-07,WAM00068098,27.5,13.0,0.0
1990-04-08,WAM00068098,28.0,14.0,0.0
1990-04-09,WAM00068098,28.0,12.7,0.0
1990-04-10,WAM00068098,27.6,12.4,0.0
1990-04-11,WAM00068098,29.3,,
1990-04-13,WAM00068098,25.2,8.5,28.4
1990-04-14,WAM00068098,25.0,7.5,0.0
1990-04-15,WAM00068098,22.5,7.2,0.0
1990-04-16,WAM00068098,26.5,,
1990-04-18,WAM00068098,28.7,12.8,
1990-04-19,WAM00068098,28.7,,0.0
1990-04-20,WAM00068098,21.0,13.5,0.0
1990-04-21,WAM00068098,23.8,12.5,
1990-04-22,WAM00068098,,11.1,
1990-04-23,WAM00068098,24.8,,
1990-04-24,WAM00068098,23.2,10.5,
1990-04-25,WAM00068098,22.7,,
1990-04-26,WAM00068098,22.7,9.5,0.0
1990-04-27,WAM00068098,22.2,7.6,
1990-04-28,WAM00068098,21.7,11.3,
1990-04-29,WAM00068098,24.5,,
1990-04-30,WAM00068098,,,
1990-05-01,WAM00068098,24.5,8.0,0.0
1990-05-03,WAM00068098,24.7,10.0,
1990-05-04,WAM00068098,24.0,11.0,
1990-05-05,WAM00068098,25.1,9.1,
1990-05-09,WAM00068098,21.0,,
1990-05-12,WAM00068098,21.0,,
1990-05-13,WAM00068098,30.7,8.1,0.0
1990-05-17,WAM00068098,35.0,19.5,
1990-05-18,WAM00068098,34.8,18.4,0.0
1990-05-20,WAM00068098,30.6,,0.0
1990-05-21,WAM00068098,30.5,12.0,0.0
1990-05-22,WAM00068098,23.7,8.0,
1990-05-23,WAM00068098,24.3,8.6,0.0
1990-05-24,WAM00068098,,13.5,
1990-05-29,WAM00068098,35.4,16.0,0.0
1990-05-30,WAM00068098,,14.2,
1990-06-02,WAM00068098,,14.7,0.0
1990-06-03,WAM00068098,21.7,12.9,0.0
1990-06-04,WAM00068098,21.5,9.6,0.0
1990-06-08,WAM00068098,23.0,8.1,
1990-06-09,WAM00068098,26.0,1.0,0.0
1990-06-10,WAM00068098,,9.0,
1990-06-11,WAM00068098,24.9,8.0,
1990-06-13,WAM00068098,33.5,16.0,0.0
1990-06-14,WAM00068098,33.5,,0.0
1990-06-16,WAM00068098,27.0,,
1990-06-17,WAM00068098,20.0,,
1990-06-18,WAM00068098,20.0,12.5,0.0
1990-06-19,WAM00068098,18.7,9.8,0.0
1990-06-20,WAM00068098,,,
1990-06-21,WAM00068098,19.0,5.3,0.0
1990-06-22,WAM00068098,16.5,,
1990-06-24,WAM00068098,15.6,9.7,
1990-06-25,WAM00068098,17.0,10.5,
2001-09-05,WAM00068098,,6.0,
2001-09-10,WAM00068098,,8.2,
2001-09-12,WAM00068098,21.1,3.9,
2001-09-13,WAM00068098,,4.4,
2001-09-14,WAM00068098,30.2,8.7,
2001-09-15,WAM00068098,27.7,9.5,
2001-09-16,WAM00068098,21.6,11.5,
2001-09-17,WAM00068098,22.5,10.5,
2001-09-18,WAM00068098,24.0,9.4,
2001-09-19,WAM00068098,24.5,8.0,
2001-09-20,WAM00068098,24.4,9.1,
2001-09-21,WAM00068098,20.8,10.7,
2001-09-22,WAM00068098,,14.0,
2001-09-23,WAM00068098,19.9,11.4,
2001-09-24,WAM00068098,24.4,9.0,
2001-09-25,WAM00068098,24.4,8.0,
2001-09-27,WAM00068098,29.6,6.3,
2001-09-28,WAM00068098,29.6,11.2,
2001-09-29,WAM00068098,21.9,12.5,
2001-09-30,WAM00068098,21.9,11.6,
2001-10-01,WAM00068098,25.6,10.1,
2001-10-04,WAM00068098,18.7,14.9,
2001-10-05,WAM00068098,,14.9,
2001-10-08,WAM00068098,22.5,10.2,
2001-10-09,WAM00068098,20.5,11.9,
2001-10-11,WAM00068098,24.2,11.1,
2001-10-12,WAM00068098,22.5,12.3,
2001-10-14,WAM00068098,19.5,15.0,
2001-10-15,WAM00068098,22.6,16.3,
2001-10-16,WAM00068098,23.1,15.5,
2001-10-17,WAM00068098,24.0,13.1,
2001-10-18,WAM00068098,24.0,11.5,
2001-10-19,WAM00068098,24.0,12.1,
2001-10-21,WAM00068098,22.2,,
2001-10-22,WAM00068098,22.2,12.0,
2001-10-23,WAM00068098,23.0,10.1,
2001-10-24,WAM00068098,23.0,10.7,
2001-10-25,WAM00068098,33.0,14.5,
2001-10-26,WAM00068098,22.0,8.5,
2001-10-27,WAM00068098,22.5,8.4,
2001-10-28,WAM00068098,22.5,9.4,
2001-10-29,WAM00068098,23.9,10.6,
2001-10-30,WAM00068098,23.8,10.5,
2001-11-04,WAM00068098,,8.5,
2001-11-05,WAM00068098,26.5,11.1,
2001-11-07,WAM00068098,28.0,12.0,
2001-11-09,WAM00068098,23.0,14.1,
2001-11-10,WAM00068098,23.0,13.3,
2001-11-11,WAM00068098,,11.5,
2001-11-12,WAM00068098,25.6,11.1,
2001-11-13,WAM00068098,25.1,14.0,
2001-11-14,WAM00068098,23.6,15.1,
2001-11-15,WAM00068098,24.4,16.3,
2001-11-16,WAM00068098,24.4,13.0,
2001-11-17,WAM00068098,24.5,15.4,
2001-11-18,WAM00068098,24.2,15.1,
2001-11-20,WAM00068098,27.2,13.1,
2001-11-21,WAM00068098,27.2,10.1,
2001-11-22,WAM00068098,24.4,13.4,
2001-11-23,WAM00068098,23.8,13.6,
2001-11-24,WAM00068098,22.8,14.6,
2001-11-26,WAM00068098,32.4,12.6,
2001-11-27,WAM00068098,23.7,13.2,
2001-11-28,WAM00068098,24.6,14.0,
2001-11-29,WAM00068098,24.6,15.0,
2001-11-30,WAM00068098,24.7,15.8,
2001-12-02,WAM00068098,25.4,12.8,
2001-12-03,WAM00068098,26.5,13.5,
2001-12-04,WAM00068098,24.6,11.7,
2001-12-05,WAM00068098,,11.1,
2001-12-17,WAM00068098,29.5,13.1,
2001-12-18,WAM00068098,25.5,13.5,
2001-12-19,WAM00068098,25.8,11.6,
2001-12-20,WAM00068098,25.8,13.5,
2001-12-21,WAM00068098,,15.0,
